Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
1950,0.14452407,0.02541021,0.02541021,0.02541021,0.02541021,0.00294582,0.00294582,0.00294582,0.00294582,0.00294582,0.00195837,0.00195837,0.00195837,0.00195837,0.00195837,0.00240393,0.00240393,0.00240393,0.00240393,0.00240393,0.00440053,0.00440053,0.00440053,0.00440053,0.00440053,0.00604702,0.00604702,0.00604702,0.00604702,0.00604702,0.00696957,0.00696957,0.00696957,0.00696957,0.00696957,0.00765737,0.00765737,0.00765737,0.00765737,0.00765737,0.00874688,0.00874688,0.00874688,0.00874688,0.00874688,0.01043818,0.01043818,0.01043818,0.01043818,0.01043818,0.01362093,0.01362093,0.01362093,0.01362093,0.01362093,0.01806811,0.01806811,0.01806811,0.01806811,0.01806811,0.02511409,0.02511409,0.02511409,0.02511409,0.02511409,0.03670778,0.03670778,0.03670778,0.03670778,0.03670778,0.05906652,0.05906652,0.05906652,0.05906652,0.05906652,0.08874422,0.08874422,0.08874422,0.08874422,0.08874422,0.12096603,0.12096603,0.12096603,0.12096603,0.12096603,0.16532317,0.16532317,0.16532317,0.16532317,0.16532317,0.28521131,0.28521131,0.28521131,0.28521131,0.28521131,0.42275908,0.42275908,0.42275908,0.42275908,0.42275908,0.56248322
1951,0.14452407,0.02541021,0.02541021,0.02541021,0.02541021,0.00294582,0.00294582,0.00294582,0.00294582,0.00294582,0.00195837,0.00195837,0.00195837,0.00195837,0.00195837,0.00240393,0.00240393,0.00240393,0.00240393,0.00240393,0.00440053,0.00440053,0.00440053,0.00440053,0.00440053,0.00604702,0.00604702,0.00604702,0.00604702,0.00604702,0.00696957,0.00696957,0.00696957,0.00696957,0.00696957,0.00765737,0.00765737,0.00765737,0.00765737,0.00765737,0.00874688,0.00874688,0.00874688,0.00874688,0.00874688,0.01043818,0.01043818,0.01043818,0.01043818,0.01043818,0.01362093,0.01362093,0.01362093,0.01362093,0.01362093,0.01806811,0.01806811,0.01806811,0.01806811,0.01806811,0.02511409,0.02511409,0.02511409,0.02511409,0.02511409,0.03670778,0.03670778,0.03670778,0.03670778,0.03670778,0.05906652,0.05906652,0.05906652,0.05906652,0.05906652,0.08874422,0.08874422,0.08874422,0.08874422,0.08874422,0.12096603,0.12096603,0.12096603,0.12096603,0.12096603,0.16532317,0.16532317,0.16532317,0.16532317,0.16532317,0.28521131,0.28521131,0.28521131,0.28521131,0.28521131,0.42275908,0.42275908,0.42275908,0.42275908,0.42275908,0.56248322
1952,0.14452407,0.02541021,0.02541021,0.02541021,0.02541021,0.00294582,0.00294582,0.00294582,0.00294582,0.00294582,0.00195837,0.00195837,0.00195837,0.00195837,0.00195837,0.00240393,0.00240393,0.00240393,0.00240393,0.00240393,0.00440053,0.00440053,0.00440053,0.00440053,0.00440053,0.00604702,0.00604702,0.00604702,0.00604702,0.00604702,0.00696957,0.00696957,0.00696957,0.00696957,0.00696957,0.00765737,0.00765737,0.00765737,0.00765737,0.00765737,0.00874688,0.00874688,0.00874688,0.00874688,0.00874688,0.01043818,0.01043818,0.01043818,0.01043818,0.01043818,0.01362093,0.01362093,0.01362093,0.01362093,0.01362093,0.01806811,0.01806811,0.01806811,0.01806811,0.01806811,0.02511409,0.02511409,0.02511409,0.02511409,0.02511409,0.03670778,0.03670778,0.03670778,0.03670778,0.03670778,0.05906652,0.05906652,0.05906652,0.05906652,0.05906652,0.08874422,0.08874422,0.08874422,0.08874422,0.08874422,0.12096603,0.12096603,0.12096603,0.12096603,0.12096603,0.16532317,0.16532317,0.16532317,0.16532317,0.16532317,0.28521131,0.28521131,0.28521131,0.28521131,0.28521131,0.42275908,0.42275908,0.42275908,0.42275908,0.42275908,0.56248322
1953,0.14452407,0.02541021,0.02541021,0.02541021,0.02541021,0.00294582,0.00294582,0.00294582,0.00294582,0.00294582,0.00195837,0.00195837,0.00195837,0.00195837,0.00195837,0.00240393,0.00240393,0.00240393,0.00240393,0.00240393,0.00440053,0.00440053,0.00440053,0.00440053,0.00440053,0.00604702,0.00604702,0.00604702,0.00604702,0.00604702,0.00696957,0.00696957,0.00696957,0.00696957,0.00696957,0.00765737,0.00765737,0.00765737,0.00765737,0.00765737,0.00874688,0.00874688,0.00874688,0.00874688,0.00874688,0.01043818,0.01043818,0.01043818,0.01043818,0.01043818,0.01362093,0.01362093,0.01362093,0.01362093,0.01362093,0.01806811,0.01806811,0.01806811,0.01806811,0.01806811,0.02511409,0.02511409,0.02511409,0.02511409,0.02511409,0.03670778,0.03670778,0.03670778,0.03670778,0.03670778,0.05906652,0.05906652,0.05906652,0.05906652,0.05906652,0.08874422,0.08874422,0.08874422,0.08874422,0.08874422,0.12096603,0.12096603,0.12096603,0.12096603,0.12096603,0.16532317,0.16532317,0.16532317,0.16532317,0.16532317,0.28521131,0.28521131,0.28521131,0.28521131,0.28521131,0.42275908,0.42275908,0.42275908,0.42275908,0.42275908,0.56248322
1954,0.14452407,0.02541021,0.02541021,0.02541021,0.02541021,0.00294582,0.00294582,0.00294582,0.00294582,0.00294582,0.00195837,0.00195837,0.00195837,0.00195837,0.00195837,0.00240393,0.00240393,0.00240393,0.00240393,0.00240393,0.00440053,0.00440053,0.00440053,0.00440053,0.00440053,0.00604702,0.00604702,0.00604702,0.00604702,0.00604702,0.00696957,0.00696957,0.00696957,0.00696957,0.00696957,0.00765737,0.00765737,0.00765737,0.00765737,0.00765737,0.00874688,0.00874688,0.00874688,0.00874688,0.00874688,0.01043818,0.01043818,0.01043818,0.01043818,0.01043818,0.01362093,0.01362093,0.01362093,0.01362093,0.01362093,0.01806811,0.01806811,0.01806811,0.01806811,0.01806811,0.02511409,0.02511409,0.02511409,0.02511409,0.02511409,0.03670778,0.03670778,0.03670778,0.03670778,0.03670778,0.05906652,0.05906652,0.05906652,0.05906652,0.05906652,0.08874422,0.08874422,0.08874422,0.08874422,0.08874422,0.12096603,0.12096603,0.12096603,0.12096603,0.12096603,0.16532317,0.16532317,0.16532317,0.16532317,0.16532317,0.28521131,0.28521131,0.28521131,0.28521131,0.28521131,0.42275908,0.42275908,0.42275908,0.42275908,0.42275908,0.56248322
1955,0.10497342,0.01278205,0.01278205,0.01278205,0.01278205,0.00189877,0.00189877,0.00189877,0.00189877,0.00189877,0.00124849,0.00124849,0.00124849,0.00124849,0.00124849,0.00182601,0.00182601,0.00182601,0.00182601,0.00182601,0.0033174999999999997,0.0033174999999999997,0.0033174999999999997,0.0033174999999999997,0.0033174999999999997,0.00425677,0.00425677,0.00425677,0.00425677,0.00425677,0.0055918,0.0055918,0.0055918,0.0055918,0.0055918,0.00691221,0.00691221,0.00691221,0.00691221,0.00691221,0.0079092,0.0079092,0.0079092,0.0079092,0.0079092,0.00897978,0.00897978,0.00897978,0.00897978,0.00897978,0.01284336,0.01284336,0.01284336,0.01284336,0.01284336,0.01690442,0.01690442,0.01690442,0.01690442,0.01690442,0.02431412,0.02431412,0.02431412,0.02431412,0.02431412,0.03494911,0.03494911,0.03494911,0.03494911,0.03494911,0.05472285,0.05472285,0.05472285,0.05472285,0.05472285,0.08459389,0.08459389,0.08459389,0.08459389,0.08459389,0.12385438,0.12385438,0.12385438,0.12385438,0.12385438,0.16783496,0.16783496,0.16783496,0.16783496,0.16783496,0.29202225,0.29202225,0.29202225,0.29202225,0.29202225,0.43285722,0.43285722,0.43285722,0.43285722,0.43285722,0.57322736
1956,0.10497342,0.01278205,0.01278205,0.01278205,0.01278205,0.00189877,0.00189877,0.00189877,0.00189877,0.00189877,0.00124849,0.00124849,0.00124849,0.00124849,0.00124849,0.00182601,0.00182601,0.00182601,0.00182601,0.00182601,0.0033174999999999997,0.0033174999999999997,0.0033174999999999997,0.0033174999999999997,0.0033174999999999997,0.00425677,0.00425677,0.00425677,0.00425677,0.00425677,0.0055918,0.0055918,0.0055918,0.0055918,0.0055918,0.00691221,0.00691221,0.00691221,0.00691221,0.00691221,0.0079092,0.0079092,0.0079092,0.0079092,0.0079092,0.00897978,0.00897978,0.00897978,0.00897978,0.00897978,0.01284336,0.01284336,0.01284336,0.01284336,0.01284336,0.01690442,0.01690442,0.01690442,0.01690442,0.01690442,0.02431412,0.02431412,0.02431412,0.02431412,0.02431412,0.03494911,0.03494911,0.03494911,0.03494911,0.03494911,0.05472285,0.05472285,0.05472285,0.05472285,0.05472285,0.08459389,0.08459389,0.08459389,0.08459389,0.08459389,0.12385438,0.12385438,0.12385438,0.12385438,0.12385438,0.16783496,0.16783496,0.16783496,0.16783496,0.16783496,0.29202225,0.29202225,0.29202225,0.29202225,0.29202225,0.43285722,0.43285722,0.43285722,0.43285722,0.43285722,0.57322736
1957,0.10497342,0.01278205,0.01278205,0.01278205,0.01278205,0.00189877,0.00189877,0.00189877,0.00189877,0.00189877,0.00124849,0.00124849,0.00124849,0.00124849,0.00124849,0.00182601,0.00182601,0.00182601,0.00182601,0.00182601,0.0033174999999999997,0.0033174999999999997,0.0033174999999999997,0.0033174999999999997,0.0033174999999999997,0.00425677,0.00425677,0.00425677,0.00425677,0.00425677,0.0055918,0.0055918,0.0055918,0.0055918,0.0055918,0.00691221,0.00691221,0.00691221,0.00691221,0.00691221,0.0079092,0.0079092,0.0079092,0.0079092,0.0079092,0.00897978,0.00897978,0.00897978,0.00897978,0.00897978,0.01284336,0.01284336,0.01284336,0.01284336,0.01284336,0.01690442,0.01690442,0.01690442,0.01690442,0.01690442,0.02431412,0.02431412,0.02431412,0.02431412,0.02431412,0.03494911,0.03494911,0.03494911,0.03494911,0.03494911,0.05472285,0.05472285,0.05472285,0.05472285,0.05472285,0.08459389,0.08459389,0.08459389,0.08459389,0.08459389,0.12385438,0.12385438,0.12385438,0.12385438,0.12385438,0.16783496,0.16783496,0.16783496,0.16783496,0.16783496,0.29202225,0.29202225,0.29202225,0.29202225,0.29202225,0.43285722,0.43285722,0.43285722,0.43285722,0.43285722,0.57322736
1958,0.10497342,0.01278205,0.01278205,0.01278205,0.01278205,0.00189877,0.00189877,0.00189877,0.00189877,0.00189877,0.00124849,0.00124849,0.00124849,0.00124849,0.00124849,0.00182601,0.00182601,0.00182601,0.00182601,0.00182601,0.0033174999999999997,0.0033174999999999997,0.0033174999999999997,0.0033174999999999997,0.0033174999999999997,0.00425677,0.00425677,0.00425677,0.00425677,0.00425677,0.0055918,0.0055918,0.0055918,0.0055918,0.0055918,0.00691221,0.00691221,0.00691221,0.00691221,0.00691221,0.0079092,0.0079092,0.0079092,0.0079092,0.0079092,0.00897978,0.00897978,0.00897978,0.00897978,0.00897978,0.01284336,0.01284336,0.01284336,0.01284336,0.01284336,0.01690442,0.01690442,0.01690442,0.01690442,0.01690442,0.02431412,0.02431412,0.02431412,0.02431412,0.02431412,0.03494911,0.03494911,0.03494911,0.03494911,0.03494911,0.05472285,0.05472285,0.05472285,0.05472285,0.05472285,0.08459389,0.08459389,0.08459389,0.08459389,0.08459389,0.12385438,0.12385438,0.12385438,0.12385438,0.12385438,0.16783496,0.16783496,0.16783496,0.16783496,0.16783496,0.29202225,0.29202225,0.29202225,0.29202225,0.29202225,0.43285722,0.43285722,0.43285722,0.43285722,0.43285722,0.57322736
1959,0.10497342,0.01278205,0.01278205,0.01278205,0.01278205,0.00189877,0.00189877,0.00189877,0.00189877,0.00189877,0.00124849,0.00124849,0.00124849,0.00124849,0.00124849,0.00182601,0.00182601,0.00182601,0.00182601,0.00182601,0.0033174999999999997,0.0033174999999999997,0.0033174999999999997,0.0033174999999999997,0.0033174999999999997,0.00425677,0.00425677,0.00425677,0.00425677,0.00425677,0.0055918,0.0055918,0.0055918,0.0055918,0.0055918,0.00691221,0.00691221,0.00691221,0.00691221,0.00691221,0.0079092,0.0079092,0.0079092,0.0079092,0.0079092,0.00897978,0.00897978,0.00897978,0.00897978,0.00897978,0.01284336,0.01284336,0.01284336,0.01284336,0.01284336,0.01690442,0.01690442,0.01690442,0.01690442,0.01690442,0.02431412,0.02431412,0.02431412,0.02431412,0.02431412,0.03494911,0.03494911,0.03494911,0.03494911,0.03494911,0.05472285,0.05472285,0.05472285,0.05472285,0.05472285,0.08459389,0.08459389,0.08459389,0.08459389,0.08459389,0.12385438,0.12385438,0.12385438,0.12385438,0.12385438,0.16783496,0.16783496,0.16783496,0.16783496,0.16783496,0.29202225,0.29202225,0.29202225,0.29202225,0.29202225,0.43285722,0.43285722,0.43285722,0.43285722,0.43285722,0.57322736
